,2024,2024,2024-01,2024-01,2024-02,2024-02,2024-03,2024-03,2024-04,2024-04,2024-05,2024-05,2024-06,2024-06,2024-07,2024-07,2024-08,2024-08,2024-09,2024-09,2024-10,2024-10,2024-11,2024-11,2024-12,2024-12,2025,2025,2025-01,2025-01,2025-02,2025-02,2025-03,2025-03,2025-04,2025-04,2025-05,2025-05,2025-06,2025-06,2025-07,2025-07,2025-08,2025-08,2025-09,2025-09,2025-10,2025-10,2025-11,2025-11,2025-12,2025-12,2026,2026,2026-01,2026-01,2026-02,2026-02,2026-03,2026-03
,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity
104600 - DIFFLAM ORANGE+VIT C HHR LOZ 24X8 TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,089,013","39,159",0,0,0,0,0,0,0,0,"277,627","9,983","362,671","13,041",0,0,"309,025","11,112",-362,-13,"140,135","5,039",0,0,-83,-3,"82,929","2,982",-834,-30,-334,-12,"84,098","3,024"
104759 - DIFFLAM WILD BERRY HHR LOZ 24X8 TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"606,147","21,796",0,0,0,0,0,0,0,0,0,0,"606,704","21,816",0,0,0,0,-362,-13,-111,-4,0,0,-83,-3,"62,906","2,262",-834,-30,-334,-12,"64,074","2,304"
104086 - DIFFLAM LEMON LOZ 180S MY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"278,154","2,992",0,0,0,0,0,0,0,0,"113,047","1,216","63,960",688,"29,749",320,0,0,0,0,"23,799",256,"29,749",320,"17,849",192,"80,322",864,"17,850",192,"17,849",192,"44,623",480
105830 - DURO-TUSS AX CHESTY COUGH CAP 100 PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,351,501","26,095",0,0,0,0,0,0,0,0,0,0,"785,966","8,722",0,0,0,0,"1,301,954","14,448",0,0,"263,581","2,925",0,0,0,0,0,0,0,0,0,0
105829 - DURO-TUSS AX CHESTY LIQ 60ML PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"479,914","119,828",0,0,0,0,0,0,0,0,0,0,"119,959","29,952",0,0,"60,043","14,992","179,858","44,908",0,0,"59,979","14,976","60,075","15,000",0,0,0,0,0,0,0,0
105828 - DURO-TUSS BC DRY COUGH TAB 100 PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,037,903","25,915",0,0,0,0,0,0,"346,795","8,659",0,0,0,0,0,0,0,0,"576,323","14,390",0,0,"114,784","2,866",0,0,0,0,0,0,0,0,0,0
105827 - DURO-TUSS BC DRY COUGH LIQ 60ML PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"188,164","59,848",0,0,0,0,0,0,0,0,0,0,"47,003","14,950",0,0,"47,085","14,976","47,025","14,957",0,0,"47,050","14,965",0,0,0,0,0,0,0,0,0,0
104733 - DURO-TUSS DRY NIGHT TIME LIQ 200ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"184,715","16,811",0,0,0,0,0,0,0,0,0,0,0,0,"81,204","8,021","24,614","1,956","47,864","3,753","19,381","1,599","7,547","1,056","4,105",426,"101,878","10,314","13,507","1,305","21,566","2,160","66,805","6,849"
104740 - DURO-TUSS DRY COUGH LEMON LOZ 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,095","21,936",0,0,0,0,0,0,0,0,0,0,0,0,"77,753","12,252","18,114","1,860","29,893","3,246","16,155","1,854","13,360","2,208","3,821",516,"51,960","7,662","8,290","1,176","12,485","1,848","31,185","4,638"
105701 - DURO-TUSS DRY COUGH LEMON LOZ 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"185,151","17,145",0,0,0,0,0,0,0,0,0,0,0,0,"104,541","10,680","22,791","1,560","37,271","2,795","15,389","1,260","3,968",690,"1,192",160,"52,177","5,155","5,988",595,"11,821","1,160","34,368","3,400"
105802 - DURO-TUSS LV 30MG/5ML SYRUP 120ML PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,262,108","79,881",0,0,0,0,0,0,0,0,"315,112","19,944",0,0,"473,680","29,980",0,0,"157,920","9,995",0,0,"315,397","19,962",0,0,0,0,0,0,0,0,0,0
105904 - BETADINE ANTISEP TOPICAL SOL 500ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"369,831","20,700",0,0,0,0,0,0,0,0,0,0,0,0,"140,071","7,980","37,616","1,923","52,066","2,817","62,205","3,507","21,113","1,248","56,760","3,225","173,969","10,260","66,162","3,771","50,696","3,189","57,112","3,300"
105767 - DEMAZIN ALLERGY + HAYFEVER TAB 110,"442,886","40,320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"228,610","18,336","134,375","9,888","13,749","7,200","66,152","4,896","667,660","79,152","3,490","3,024","77,835","6,096","80,457","5,952","76,525","5,760","78,687","5,760","133,905","9,456","227,111","16,176","174,545","12,432","39,087","2,784","160,950","11,712","-158,415",0,"-226,516",0,"-317,925",0,"-104,015",0,"-105,375",0,"-108,535",0
105928 - RETRIEVE ONE 1% RETINOL SERUM 30ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,359",96,0,0,0,0,0,0,0,0,0,0,0,0,"2,180",48,0,0,0,0,0,0,0,0,"2,180",48,"2,180",48,0,0,"2,180",48,0,0
105964 - SENOKOT LAXATIVE GUMMIES 60S CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"653,737","57,621",0,0,0,0,0,0,0,0,0,0,0,0,"222,870","19,644",0,0,0,0,"56,500","4,980",0,0,"374,366","32,997",0,0,0,0,0,0,0,0
105966 - DEMAZIN 2% ITCH RELIEF CREAM 25G SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,471","24,129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,844","4,849","9,215","8,166","-1,143","5,073","10,555","6,041","29,477","22,889","23,439","17,559","6,038","5,330",0,0
103343 - INVISZINC FACE & BODY SPF50 75G GR,"274,065","37,741","-7,442","2,747","14,075","2,728","30,607","1,186","-6,033",590,"11,617","1,238","3,745",349,"9,521","1,340","36,224","3,137","47,697","5,969","40,654","5,280","54,287","7,623","39,113","5,554","482,712","51,237","37,636","5,732","55,078","1,800","-10,417",995,"-8,869",709,"2,287",605,"8,295",740,"7,672","1,018","32,632","3,966","46,496","5,758","79,702","9,589","110,955","9,258","121,247","11,067","-28,982","2,834","11,142","3,028","-39,397",6,-727,-200
103344 - INVISZINC FACE & BODY SPF50 150G GR,"366,264","28,191","39,219","2,251","11,368","1,495","15,855",862,"3,522",664,"3,810",652,"12,746",572,"14,924",846,"37,147","2,694","28,889","2,938","44,813","4,052","51,279","4,332","102,692","6,833","410,517","39,295","26,649","2,580","18,791","1,241","11,551",750,"11,111",982,"10,539",290,"17,314",804,"8,376",596,"14,030","1,586","9,693","4,813","108,413","11,230","116,204","10,479","57,847","3,944","108,925","7,897","68,123","5,807","42,721","1,626","-1,918",464
101643 - INVISZINC JUNIOR SPF50 60G,"119,812","20,076","-7,187","1,212","5,626","2,004","2,807",372,"-4,599",208,-199,24,"4,668",648,"1,174",240,"19,621","1,794","19,578","2,496","34,080","4,446","22,300","3,554","21,941","3,078","203,242","27,464","19,917","3,186","10,496","1,362","-6,186",558,"-9,191",475,-125,186,"2,547",192,"3,199",474,"9,266","1,182","30,782","3,955","42,613","5,537","46,335","7,554","53,586","2,803","22,034","4,467","21,486","3,228","-4,917","1,011","5,465",228
